Subject,Scored,Year,Baseline,Score
E,122568,2015,Advanced,8.04
E,54180,2015,Advanced,2.52
M,123091,2015,Advanced,17.66
M,54760,2015,Advanced,7.42
S,122035,2015,Advanced,20.62
S,53907,2015,Advanced,8.22
E,122568,2015,Proficient,64.75
E,54180,2015,Proficient,51.14
M,123091,2015,Proficient,46.82
M,54760,2015,Proficient,36.09
S,122035,2015,Proficient,38.33
S,53907,2015,Proficient,28.89
E,122568,2015,Basic,19.81
E,54180,2015,Basic,31.53
M,123091,2015,Basic,26.48
M,54760,2015,Basic,38.69
S,122035,2015,Basic,22.7
S,53907,2015,Basic,29.14
E,122568,2015,BelowBasic,7.4
E,54180,2015,BelowBasic,14.81
M,123091,2015,BelowBasic,9.04
M,54760,2015,BelowBasic,17.8
S,122035,2015,BelowBasic,18.36
S,53907,2015,BelowBasic,33.75
Algebra I,123525,2016,Advanced,20.6
Algebra I,56045,2016,Advanced,8.8
Biology,122602,2016,Advanced,27.1
Biology,55240,2016,Advanced,11.6
Literature,123292,2016,Advanced,10
Literature,55740,2016,Advanced,3.5
Algebra I,123525,2016,Proficient,47.6
Algebra I,56045,2016,Proficient,38.7
Biology,122602,2016,Proficient,38.7
Biology,55240,2016,Proficient,32.7
Literature,123292,2016,Proficient,66.8
Literature,55740,2016,Proficient,55.3
Algebra I,123525,2016,Basic,23.3
Algebra I,56045,2016,Basic,35.7
Biology,122602,2016,Basic,19.7
Biology,55240,2016,Basic,28
Literature,123292,2016,Basic,17
Literature,55740,2016,Basic,28.5
Algebra I,123525,2016,BelowBasic,8.4
Algebra I,56045,2016,BelowBasic,16.7
Biology,122602,2016,BelowBasic,14.5
Biology,55240,2016,BelowBasic,27.6
Literature,123292,2016,BelowBasic,6.2
Literature,55740,2016,BelowBasic,12.7
Algebra I,123648,2017,Advanced,22.2
Algebra I,57690,2017,Advanced,10.1
Biology,122518,2017,Advanced,27.6
Biology,56742,2017,Advanced,12.3
Literature,122697,2017,Advanced,8.8
Literature,56769,2017,Advanced,2.9
Algebra I,123648,2017,Proficient,43.4
Algebra I,57690,2017,Proficient,34.7
Biology,122518,2017,Proficient,35.9
Biology,56742,2017,Proficient,30.2
Literature,122697,2017,Proficient,63.9
Literature,56769,2017,Proficient,51.2
Algebra I,123648,2017,Basic,24.5
Algebra I,57690,2017,Basic,36.2
Biology,122518,2017,Basic,20.5
Biology,56742,2017,Basic,28.1
Literature,122697,2017,Basic,19.6
Literature,56769,2017,Basic,30.8
Algebra I,123648,2017,BelowBasic,9.9
Algebra I,57690,2017,BelowBasic,19.1
Biology,122518,2017,BelowBasic,16
Biology,56742,2017,BelowBasic,29.4
Literature,122697,2017,BelowBasic,7.7
Literature,56769,2017,BelowBasic,15
Algebra I,122260,2018,Advanced,23.5
Algebra I,57678,2018,Advanced,11.2
Biology,121144,2018,Advanced,27
Biology,56701,2018,Advanced,12.2
Literature,121508,2018,Advanced,10
Literature,56919,2018,Advanced,3.8
Algebra I,122260,2018,Proficient,41.7
Algebra I,57678,2018,Proficient,33.7
Biology,121144,2018,Proficient,37.4
Biology,56701,2018,Proficient,31.9
Literature,121508,2018,Proficient,62.7
Literature,56919,2018,Proficient,50.9
Algebra I,122260,2018,Basic,25.1
Algebra I,57678,2018,Basic,36.7
Biology,121144,2018,Basic,21.3
Biology,56701,2018,Basic,29.6
Literature,121508,2018,Basic,18.9
Literature,56919,2018,Basic,29.1
Algebra I,122260,2018,BelowBasic,9.7
Algebra I,57678,2018,BelowBasic,18.4
Biology,121144,2018,BelowBasic,14.3
Biology,56701,2018,BelowBasic,26.3
Literature,121508,2018,BelowBasic,8.4
Literature,56919,2018,BelowBasic,16.2
Algebra I,119742,2019,Advanced,24.6
Algebra I,54829,2019,Advanced,11.2
Biology,118506,2019,Advanced,26.4
Biology,53978,2019,Advanced,12.1
Literature,118885,2019,Advanced,13.1
Literature,54147,2019,Advanced,5
Algebra I,119742,2019,Proficient,38.7
Algebra I,54829,2019,Proficient,30.9
Biology,118506,2019,Proficient,36.8
Biology,53978,2019,Proficient,30.5
Literature,118885,2019,Proficient,58.4
Literature,54147,2019,Proficient,47.4
Algebra I,119742,2019,Basic,26.2
Algebra I,54829,2019,Basic,37.7
Biology,118506,2019,Basic,20.5
Biology,53978,2019,Basic,27.8
Literature,118885,2019,Basic,18.9
Literature,54147,2019,Basic,28.8
Algebra I,119742,2019,BelowBasic,10.5
Algebra I,54829,2019,BelowBasic,20.1
Biology,118506,2019,BelowBasic,16.3
Biology,53978,2019,BelowBasic,29.5
Literature,118885,2019,BelowBasic,9.6
Literature,54147,2019,BelowBasic,18.8
Algebra I,101846,2021,Advanced,28
Algebra I,41337,2021,Advanced,14.3
Biology,56721,2021,Advanced,34.4
Biology,21857,2021,Advanced,17.2
Literature,11090,2021,Advanced,8.1
Literature,6280,2021,Advanced,2.2
Algebra I,101846,2021,Proficient,34.4
Algebra I,41337,2021,Proficient,26.7
Biology,56721,2021,Proficient,33.2
Biology,21857,2021,Proficient,27.9
Literature,11090,2021,Proficient,41.5
Literature,6280,2021,Proficient,28.2
Algebra I,101846,2021,Basic,25.6
Algebra I,41337,2021,Basic,35.1
Biology,56721,2021,Basic,19.1
Biology,21857,2021,Basic,27.6
Literature,11090,2021,Basic,25.9
Literature,6280,2021,Basic,31.5
Algebra I,101846,2021,BelowBasic,12
Algebra I,41337,2021,BelowBasic,24
Biology,56721,2021,BelowBasic,13.3
Biology,21857,2021,BelowBasic,27.4
Literature,11090,2021,BelowBasic,24.6
Literature,6280,2021,BelowBasic,38.1
Algebra I,59247,2022,Advanced,36.4
Algebra I,23768,2022,Advanced,16
Biology,62545,2022,Advanced,13.9
Biology,32909,2022,Advanced,5.5
Literature,102836,2022,Advanced,10.3
Literature,47058,2022,Advanced,3.8
Algebra I,59247,2022,Proficient,27.4
Algebra I,23768,2022,Proficient,18.9
Biology,62545,2022,Proficient,28
Biology,32909,2022,Proficient,19.6
Literature,102836,2022,Proficient,54.6
Literature,47058,2022,Proficient,41.1
Algebra I,59247,2022,Basic,19.6
Algebra I,23768,2022,Basic,29.2
Biology,62545,2022,Basic,33.1
Biology,32909,2022,Basic,35.7
Literature,102836,2022,Basic,23.9
Literature,47058,2022,Basic,33.7
Algebra I,59247,2022,BelowBasic,16.6
Algebra I,23768,2022,BelowBasic,35.9
Biology,62545,2022,BelowBasic,25.1
Biology,32909,2022,BelowBasic,39.2
Literature,102836,2022,BelowBasic,11.2
Literature,47058,2022,BelowBasic,21.4
